0: BIOLOGYĂ1: Toss Up | Short Answer: Out of the following, by name or number, which are considered gram positive: Influenza, Bacillus Anthracis, Escherischia Coli, and Bordetella PertussisĂ2: Toss Up Answer: 2, Bacillus Anthracisă3: Bonus | Short Answer: What is the main immunoglobulin found in mucous secretions?Ă4: Bonus Answer: igA, immunoglobulin Aă0: EARTH and SPACEĂ1: Toss Up | Multiple Choice: 	Which of these is till?
		W) fine flacial lake clay
		X) well-sorted outwash sand
		Y) a polished rock outcrop
		Z) unsorted sand, gravel, and clay in a moraineĂ2: Toss Up Answer: ZĂ3: Bonus | Short Answer: How many officially recognized dwarf planets are there in our solar system?Ă4: Bonus Answer: 5ă0: PHYSICSĂ1: Toss Up | Short Answer: What is the unit of the quantity 1/(4PIe_o) (READ AS: 1 over 4 times Pi times epsilon naught)?Ă2: Toss Up Answer: N*m^2/C^2 (READ AS: newton meters squared over coulomb squared)ă3: Bonus | Short Answer: An time-varying electric field is given by (24t^2 N/C)*i + (30t N/C)*j + (16/t N/C) *k. What is its flux at time t=2 as it passes through a region in the y-z plane whose area is given by A(t)=2t?Ă4: Bonus Answer: 112 N/Că0: BIOLOGYĂ1: Toss Up | Short Answer: Bob's mother had Cystic Fibrosis, and his father was a carrier, but Bob is unaffected. If Cynthia's parents were both carriers of Cystic Fibrosis, then what is the probability, expressed as a simple fraction, of Bob and Cynthia having a child with CF?Ă2: Toss Up Answer: 1/8Ă3: Bonus | Multiple Choice: 	Marfan's Syndrome exhibits which Mendelian inheritance pattern?
		W) Abe Lincoln
		X) X-linked recessive
		Y) Autosomal Recessive
		Z) Autosomal DominantĂ4: Bonus Answer: Ză0: CHEMISTRYĂ1: Toss Up | Multiple Choice: 	Radiation from a mercury lamp source is of energy 2.845 eV. Calculate the wavelength of the radiation.
		W) 579 nm
		X) 355 nm
		Y) 405 nm
		Z) 436 nmĂ2: Toss Up Answer: ZĂ3: Bonus | Multiple Choice: 	The force constant of the bond in a hydrogen chloride, HCl, molecule is 516 N m-1. Calculate the vibrational potential energy of an HCl molecule with a bond that is extended from its equilibrium length by 0.11 Å.
		W) 3.1 × 10^-20 J
		X) 6.2 × 10^-20 J
		Y) 1.5 × 10^-20 J
